,appid,average_2weeks,average_forever,developer,median_2weeks,median_forever,name,negative,owners,owners_variance,players_2weeks,players_2weeks_variance,players_forever,players_forever_variance,positive,price,publisher,score_rank,userscore
237870.0,237870,246,823,Pathea Games,123,227,Planet Explorers,1541,301860,16899,2606,1928,283056,16364,3692,1499,Pathea Games,28,69
238240.0,238240,145,324,Handyman Studios,131,116,Edge of Space,1409,238519,15022,1862,1629,180621,13073,1016,1499,Reverb Triple XP,5,41
241990.0,241990,369,1469,Stardock Entertainment,369,533,Sorcerer King,162,48248,6758,745,1030,37361,5946,372,999,Stardock Entertainment,26,68
242130.0,242130,0,259,TimeSymmetry,0,122,Vector Thrust,231,38351,6025,0,0,24990,4863,302,2499,Iceberg Interactive,13,58
242680.0,242680,178,1723,Vlambeer,45,320,Nuclear Throne,322,561163,23035,33403,5623,398604,19417,8527,1199,Vlambeer,95,97
242840.0,242840,52,287,Indomitus Games,75,146,In Verbis Virtus,196,72001,8255,1485,1185,56166,7291,960,1999,Indomitus Games,53,82
242860.0,242860,124,872,"M2H, Blackmill Games",40,261,Verdun,3610,834817,28087,48743,6792,688093,25504,20181,2499,"Blackmill Games, M2H",56,86
243970.0,243970,242,708,Klei Entertainment,75,206,"Invisible, Inc.",201,487678,21475,11382,3282,286767,16471,3050,1999,Klei Entertainment,85,93
244030.0,244030,149,884,Bohemia Interactive,117,266,Take On Mars,527,79919,8697,3217,1744,72743,8297,777,2699,Bohemia Interactive,15,59
244210.0,244210,315,3374,Kunos Simulazioni,98,628,Assetto Corsa,1582,554235,22892,94517,9458,533699,22465,11221,2999,Kunos Simulazioni,64,86
246110.0,246110,370,428,Double Fine Productions,380,145,MASSIVE CHALICE,400,265984,15863,2227,1451,147466,11813,994,1999,Double Fine Productions,29,71
246620.0,246620,131,661,Ndemic Creations,48,318,Plague Inc: Evolved,1067,1621386,39112,75713,8465,1446456,36948,16647,1499,Ndemic Creations,85,93
246760.0,246760,173,1082,Aterdux Entertainment,242,232,Legends of Eisenwald,251,186065,13269,2227,1451,99218,9690,908,1999,Aterdux Entertainment,42,78
246900.0,246900,144,490,RuneStorm,74,245,Viscera Cleanup Detail,425,571060,23237,18310,4163,491884,21568,5632,1299,RuneStorm,81,93
247080.0,247080,128,638,Brace Yourself Games,34,218,Crypt of the NecroDancer,352,916715,29431,61114,7605,789043,27308,11785,1499,"Brace Yourself Games, Klei Entertainment",97,97
249380.0,249380,0,526,Stainless Games Ltd,0,179,Carmageddon: Reincarnation,690,117528,10546,0,0,107383,10081,2175,0,Stainless Games Ltd,36,75
249950.0,249950,236,416,,236,223,Forge Quest,73,47258,6688,747,1463,43547,6420,424,999,,58,85
25000.0,25000,205,480,Wolfire Games,191,201,Overgrowth,973,273901,16098,9650,3022,146971,11793,2532,2999,Wolfire Games,31,74
250110.0,250110,18,353,Witch Beam,27,151,Assault Android Cactus,57,106641,10046,1485,1185,66063,7907,1125,1499,Witch Beam,92,96
250520.0,250520,514,1157,Stygian Software,721,151,UnderRail,169,114806,10423,2959,2047,64578,7818,1173,1499,Stygian Software,64,87
251970.0,251970,0,338,Ironclad Games,0,55,Sins of a Dark Age,416,378810,18929,0,0,158600,12251,824,0,Ironclad Games,,0
252450.0,252450,645,2225,Zero Sum Games,748,867,StarDrive 2,681,78187,8602,1979,1368,66805,7951,943,2999,Iceberg Interactive,14,57
252470.0,252470,441,1121,MinMax Games Ltd.,352,446,Space Pirates And Zombies 2,286,72991,8311,5691,2321,69527,8112,1306,1999,MinMax Games Ltd.,51,81
253190.0,253190,116,426,Reverie World Studios,155,160,Kingdom Wars 2: Battles,284,60620,7574,1237,1082,48496,6775,608,559,,25,63
253610.0,253610,77,148,Final Boss Entertainment,77,87,Wrack,124,47753,6723,745,1030,30433,5367,339,249,Final Boss Entertainment,33,72
254200.0,254200,312,2301,ProjectorGames,441,142,FortressCraft Evolved!,482,117280,10535,2474,1530,104414,9941,1487,1299,Digital Tribe,36,76
254320.0,254320,160,525,Misfits Attic,275,259,Duskers,98,53444,7112,1856,1624,46516,6635,804,1999,Misfits Attic,70,88
254590.0,254590,0,304,Pantera Entertainment,0,74,Theme Park Studio,220,23011,4667,0,0,22021,4565,232,2999,Pantera Entertainment,9,46
255500.0,255500,0,468,Artplant,0,141,Entropy,331,20289,4382,0,0,19299,4274,162,999,Artplant,2,32
257030.0,257030,25,138,GameCrafterTeam,25,88,Project Nimbus,100,28701,5212,742,838,24743,4839,752,1999,"KISS ltd, GameTomo",67,88
258160.0,258160,1,63,BANDAI NAMCO Studio,1,15,Rise of Incarnates,948,1856194,41838,738,1444,806858,27614,1430,0,BANDAI NAMCO Entertainment,,0
260430.0,260430,825,390,Digital Leisure Inc.,98,38,The Four Kings Casino and Slots,855,414934,19810,2474,1530,250396,15392,2001,0,Digital Leisure Inc.,28,70
261490.0,261490,181,192,RedBedlam,275,164,Bedlam,148,111342,10265,1732,1280,49980,6878,445,1299,KISS ltd,36,68
262060.0,262060,390,1881,Red Hook Studios,149,813,Darkest Dungeon,4230,1738666,40497,144497,11694,1615943,39046,29289,2499,Red Hook Studios,64,86
262120.0,262120,95,438,"Signal Studios, Krome Studios",96,305,Toy Soldiers: Complete,145,67547,7996,990,967,56661,7323,459,1499,Signal Studios,36,75
263060.0,263060,38,334,GhostShark,19,193,Blockstorm,1130,473574,21163,7423,2650,368171,18662,5127,499,IndieGala,48,79
263640.0,263640,0,72,MAG Studios,0,69,CDF Ghostship,46,6186,2419,0,0,3959,1935,33,1499,MAG Studios,5,35
264000.0,264000,0,225,stillalive studios,0,169,Son of Nor,70,21279,4488,0,0,14351,3685,128,1999,Viva Media,20,52
264120.0,264120,179,150,Vae Victis Games,340,21,Victory: The Age of Racing,529,451306,20660,2227,1451,330809,17690,423,0,Vae Victis Games,6,44
264380.0,264380,1114,706,stage-nana,72,14,Narcissu 1st & 2nd,162,397120,19381,2722,1605,158848,12260,2630,0,Sekai Project,89,94
265590.0,265590,28,599,Ironward,55,127,The Red Solstice,202,179632,13037,1480,1448,92290,9346,859,1999,Nkidu Games Inc.,46,78
265750.0,265750,0,207,Switchblade Monkeys Entertainment,0,70,Secret Ponchos,369,51465,6979,0,0,41568,6272,978,1499,Switchblade Monkeys Entertainment,31,76
265810.0,265810,21,668,PIXOWL INC.,41,199,The Sandbox,215,33403,5623,1237,1082,26227,4982,339,499,PIXOWL INC.,17,61
265970.0,265970,0,1533,Wastelands Interactive,0,323,Worlds of Magic,226,20784,4435,0,0,18557,4191,213,2499,Wastelands Interactive,8,41
266310.0,266310,265,481,The Game Creators,163,48,GameGuru,234,121486,10722,2722,1605,58888,7465,713,1749,The Game Creators,36,73
267750.0,267750,1688,1013,Cliffhanger Productions,1688,225,Shadowrun Chronicles - Boston Lockdown,364,195962,13617,742,838,84125,8923,720,1999,"Cliffhanger Productions, THQ Nordic",23,60
268360.0,268360,11,106,"Mario von Rickenbach, Playables",11,47,Krautscape,64,27959,5144,747,1463,9402,2983,152,799,"Midnight City, Majesco Entertainment",28,72
268870.0,268870,455,471,5 Lives Studios,163,128,Satellite Reign,518,401326,19483,7670,2694,203632,13881,1613,2999,5 Lives Studios,36,76
269310.0,269310,243,402,Toge Productions,305,244,Infectonator : Survivors,176,34887,5746,1114,1258,30433,5367,383,999,Toge Productions,25,67
269350.0,269350,0,59,Organic Humans,0,50,Montas,73,35629,5807,0,0,6681,2514,71,999,Organic Humans,8,45
269650.0,269650,272,409,Dreadlocks Ltd.,317,192,Dex,161,70517,8169,1732,1280,46516,6635,1017,1999,"Dreadlocks Ltd., Badland Games, Techland",61,85
269770.0,269770,374,809,Pixel Ferrets,182,517,Secrets of Grindea,158,157363,12203,8165,2780,154147,12078,2926,1499,Pixel Ferrets,89,94
269990.0,269990,13,328,Digital Eel,13,185,Infinite Space III: Sea of Stars,29,21031,4461,742,1453,11629,3317,57,999,Digital Eel,23,77
270110.0,270110,898,728,"MindBlocks Studio, LLC",898,143,Block Story,142,23258,4692,740,1023,12371,3422,230,299,"MindBlocks Studio, LLC",17,60
270150.0,270150,113,694,Osumia Games,39,249,RUNNING WITH RIFLES,525,310768,17146,14351,3685,294438,16690,4419,1499,Osumia Games,70,89
270210.0,270210,253,327,Icetesy SPRL,24,152,Melody's Escape,240,137322,11400,8165,2780,128414,11024,3774,339,Icetesy SPRL,89,93
270270.0,270270,0,388,Flox Studios Ltd.,0,94,Frozen State,125,21774,4539,0,0,19299,4274,332,1199,Flox Studios Ltd.,31,72
270450.0,270450,48,218,Erik Asmussen,32,94,Robot Roller-Derby Disco Dodgeball,212,497327,21686,6681,2514,287262,16485,2868,999,82 Apps,85,92
271240.0,271240,315,570,Mohawk Games,167,228,Offworld Trading Company,698,508956,21938,24248,4790,337737,17874,2217,1999,Stardock Entertainment,38,74
272270.0,272270,271,870,inXile Entertainment,224,280,Torment: Tides of Numenera,704,152910,12029,5691,2321,120002,10657,1616,4499,inXile Entertainment,26,69
272330.0,272330,158,147,Dead Mage,158,141,Shadow Blade: Reload,25,36124,5847,742,838,16330,3931,184,1499,Dead Mage,67,88
272890.0,272890,18,51,Kinelco & Lone Elk Creative,12,17,Vertiginous Golf,393,414687,19804,1850,1619,136085,11348,558,999,Surprise Attack,14,68
273500.0,273500,37,154,Loren Lemcke,37,81,Over 9000 Zombies!,135,84620,8949,1110,1254,58888,7465,704,199,Loren Lemcke,53,84
274190.0,274190,164,665,Free Lives,70,341,Broforce,836,1452394,37024,100455,9750,1264350,34551,26179,1499,Devolver Digital,95,97
274230.0,274230,97,338,Tomasz Wacławek,98,158,RONIN,435,128909,11045,2959,2047,57898,7402,1004,1299,Devolver Digital,26,74
274500.0,274500,244,228,"Stellar Jockeys, Gausswerks",195,89,Brigador: Up-Armored Edition,82,212539,14181,2474,1530,83383,8883,1179,1999,Stellar Jockeys,85,96
274520.0,274520,240,518,Acid Wizard Studio,114,168,Darkwood,94,113569,10367,10392,3136,102187,9834,2176,1499,Acid Wizard Studio,92,95
274620.0,274620,6,90,8-Bit Studio,8,21,Skara - The Blade Remains,237,340212,17939,1489,1457,143260,11643,387,0,8-Bit Studio,18,62
274920.0,274920,468,873,Holotech Studios,22,90,FaceRig,636,525781,22298,17815,4106,466646,21007,3350,1499,Holotech Studios,56,83
276730.0,276730,0,87,Spilt Milk Studios Ltd,0,48,Tango Fiesta,20,26722,5029,0,0,6186,2419,37,999,Spilt Milk Studios Ltd,20,72
276810.0,276810,713,2278,Rogue Factor,299,365,Mordheim: City of the Damned,1385,308541,17085,9897,3060,216003,14296,3223,3999,Focus Home Interactive,26,72
277520.0,277520,1,144,Z4G0 and Ivan Venturi Productions,1,117,Albedo: Eyes from Outer Space,103,46764,6653,738,1444,23258,4692,129,1499,Merge Games,12,50
277950.0,277950,218,206,Deadbreed AB,297,146,Deadbreed,1017,778404,27123,1979,1368,433491,20248,1699,0,Deadbreed AB,18,61
278440.0,278440,28,102,Alan Zucconi,28,35,0RBITALIS,65,35629,5807,742,1453,24248,4790,181,999,Mastertronic,33,75
278810.0,278810,0,89,Modern Dream,0,38,LA Cops,54,20536,4409,0,0,9897,3060,78,374,Team17 Digital Ltd,15,63
278910.0,278910,1,299,Team Jolly Roger,1,164,Interplanetary,141,113816,10378,742,1453,79671,8683,602,0,Team17 Digital Ltd,48,80
279070.0,279070,0,307,Valorware,0,229,9th Dawn II,11,7175,2606,0,0,5443,2270,58,199,Valorware,56,83
279900.0,279900,878,483,Wales Interactive,878,407,Soul Axiom,54,50722,6929,747,1463,18310,4163,117,799,Wales Interactive,25,66
280180.0,280180,73,548,"Midgar Studio, Fusty Game",102,211,Hover,149,34887,5746,1979,1368,30433,5367,823,1999,"Playdius, Plug In Digital",56,86
280520.0,280520,266,796,Siege Games,287,349,Crea,150,49733,6861,1489,1457,47011,6670,673,1499,Siege Games,48,78
280600.0,280600,251,387,WRF Studios,251,214,BloodLust Shadowhunter,48,16330,3931,740,1023,15093,3779,194,1299,WRF Studios,46,79
280790.0,280790,280,564,Playful Corporation,48,82,Creativerse,3837,4411121,64325,82393,8830,3730203,59194,15967,0,Playful Corporation,46,80
281940.0,281940,23,146,GRIN,23,91,Woolfe - The Red Hood Diaries,442,68537,8054,740,1023,47011,6670,654,999,Rebellion,15,60
282050.0,282050,110,1317,"Rainbow Studios, THQ Nordic",171,515,MX vs. ATV Supercross Encore,256,21774,4539,1117,1262,19547,4301,267,2999,THQ Nordic,9,51
282560.0,282560,171,797,Nvizzio Creations,79,255,RollerCoaster Tycoon World,3181,167260,12581,4454,2053,154889,12107,1133,1499,"Atari, RCTO Productions",1,27
282590.0,282590,429,1159,"Blind Mind Studios, Glacicle",627,334,Star Ruler 2,111,52454,7046,1485,1185,40331,6178,472,2499,Blind Mind Studios,46,79
282620.0,282620,0,69,"Bit Planet Games, LLC",0,61,The Battle of Sol,28,22763,4642,0,0,5443,2270,53,999,"Bit Planet Games, LLC",22,70
282860.0,282860,0,173,Master Technologies,0,108,Masterspace,115,12371,3422,0,0,5938,2370,54,1399,Mastertech,2,28
283040.0,283040,13,262,"Stephane Valverde, Leslie Valverde",13,292,Paper Dungeons,34,44289,6474,742,838,33897,5664,38,999,Agent Mega,10,45
283080.0,283080,197,306,PestoForce,267,227,Super Chibi Knight,27,19794,4328,1237,1082,14598,3717,205,499,"Armor Games Studios, PestoForce",67,86
283160.0,283160,54,146,"Marauder Interactive, LLC",57,53,House of the Dying Sun,84,42310,6328,990,967,33155,5602,770,1999,"Marauder Interactive, LLC",74,90
284100.0,284100,22,345,Refactored Games OÜ,22,141,Unclaimed World,48,8907,2903,747,1463,7670,2694,83,474,Refactored Games OÜ,19,59
285070.0,285070,339,251,RainDance LX,392,262,Between Me and The Night,129,202642,13847,4701,2109,112579,10322,456,1499,"Lace Games, KISS ltd",40,71
285820.0,285820,35,567,RageSquid,35,106,Action Henk,50,113816,10378,747,1463,57156,7355,412,1499,RageSquid,70,90
285920.0,285920,410,1590,Payload Studios,241,440,TerraTech,584,241983,15131,24248,4790,237529,14991,2714,1999,Payload Studios,51,82
286160.0,286160,283,1183,Berserk Games,142,318,Tabletop Simulator,531,1432600,36772,116043,10479,1311113,35182,9398,1999,Berserk Games,89,93
286240.0,286240,4,375,Trichotomy,4,249,Dog Sled Saga,19,14103,3653,745,1030,13361,3556,233,799,Trichotomy,81,91
287220.0,287220,2,432,Alientrap,2,110,Autocraft,105,33897,5664,742,1453,29691,5301,162,999,Alientrap,16,58
287900.0,287900,30,610,Barnstorm Games,30,425,Pro Pinball Ultra,19,6928,2560,738,1444,6928,2560,100,1499,Barnstorm Games,56,80
287980.0,287980,163,522,Dinosaur Polo Club,30,233,Mini Metro,188,504255,21837,18557,4191,370892,18730,5580,999,Dinosaur Polo Club,95,96
288100.0,288100,0,159,Spark Plug Games,0,175,MechRunner,6,4083,2409,0,0,2970,2055,10,799,Spark Plug Games,18,63
288140.0,288140,623,5007,PERFECT PARALLEL,1234,294,Jack Nicklaus Perfect Golf,222,19547,4301,1237,1082,19299,4274,390,3499,"Perfect.Golf, Inc.",19,63
288220.0,288220,88,1730,sakevisual,124,432,Backstage Pass,16,13114,3523,1114,1258,11134,3246,161,2999,sakevisual,74,91
288260.0,288260,0,139,Artifice Studio,0,157,Conflicks - Revolutionary Space Battles,49,7175,2606,0,0,4701,2109,111,699,Artifice Studio,26,85
288860.0,288860,0,521,Crafty Studios,0,616,Realms of Arkania: Star Trail,11,3464,1810,0,0,3217,1744,62,2099,United Independent Entertainment GmbH,56,83
289760.0,289760,18,147,"Radial Games Corp, Loren Bednar, Dr. Kimberly Voll, Lindsay Jorgensen",23,29,ROCKETSROCKETSROCKETS,106,204622,13915,1485,1185,66805,7951,412,699,Radial Games Corp,44,85
290000.0,290000,113,274,MURA Interactive,113,49,DubWars,42,23753,4741,745,1030,14846,3748,164,999,WOBBL3 Entertainment LLC,44,83
290020.0,290020,0,432,Incandescent Games,0,215,LogicBots,12,6433,2467,0,0,5443,2270,86,1199,Incandescent Games,64,86
290060.0,290060,0,70,Space Budgie,0,46,Glitchspace,54,16083,3901,0,0,8413,2822,183,1299,Space Budgie,40,76
290080.0,290080,1086,4634,Bitbox Ltd.,127,736,Life is Feudal: Your Own,2982,424337,20033,14598,3717,383511,19046,5761,3999,Bitbox Ltd.,22,65
290340.0,290340,249,863,League of Geeks,165,319,Armello,998,464914,20968,16330,3931,323881,17504,4949,1999,League of Geeks,53,84
290530.0,290530,83,301,Logic Artists,83,188,Clandestine,59,27712,5121,742,1453,22268,4591,252,1999,Logic Artists,48,80
290870.0,290870,0,163,Bretwalda Games,0,73,Steam Squad,16,4701,2109,0,0,4454,2053,63,1799,Bretwalda Games,44,64
291550.0,291550,245,820,Blue Mammoth Games,55,129,Brawlhalla,8102,8205407,87384,540627,22610,7556902,83917,50094,0,Blue Mammoth Games,61,86
293240.0,293240,0,266,Nate Schmold,0,159,Cosmochoria,43,35629,5807,0,0,24743,4839,394,999,30/30,74,89
293400.0,293400,0,1404,The Alpha Company,0,2549,Epic Space: Online,64,1862,1629,0,0,1862,1629,19,1799,The Alpha Company,1,17
293460.0,293460,0,203,Scorpius Games,0,111,I Shall Remain,39,11629,3317,0,0,5938,2370,88,999,Scorpius Games,26,67
293780.0,293780,166,298,Powerhoof,116,157,Crawl,98,304087,16961,8660,2863,171714,12747,3033,1499,Powerhoof,95,97
294000.0,294000,31,191,Chainsawesome Games,31,152,Knight Squad,35,97239,9593,747,1463,31176,5432,225,1499,Chainsawesome Games,61,87
295670.0,295670,0,306,Graphite Lab,0,204,Hive Jump,30,7423,2650,0,0,5938,2370,181,1999,Graphite Lab,58,80
296010.0,296010,0,130,Intravenous Software,0,125,NeonXSZ,10,4454,2053,0,0,3464,1810,78,1499,None - Independent,67,86
296300.0,296300,356,868,Aquiris Game Studio,114,267,Ballistic Overkill,1051,97981,9630,7175,2606,93775,9421,3919,1199,Aquiris Game Studio,42,78
296710.0,296710,60,267,Team Junkfish,81,123,Monstrum,117,104661,9952,2969,1676,64331,7803,1163,1799,Team Junkfish,74,90
296870.0,296870,244,184,"Andre Chagas Silva, Anthony Septim",249,213,Dreaming Sarah,107,133363,11234,42310,6328,102929,9870,1160,599,Asteristic Game Studio,77,92
297740.0,297740,0,144,Dlala Studios,0,119,Overruled!,27,44289,6474,0,0,11134,3246,32,1299,Team17 Digital Ltd,11,59
297810.0,297810,0,961,Daybreak Game Company,0,321,Landmark,1408,82888,8857,0,0,78929,8643,732,999,Daybreak Game Company,3,34
298050.0,298050,526,3046,NGD Studios,195,1087,Master of Orion,1083,208333,14040,9155,2943,192498,13496,2588,2999,Wargaming Labs,28,69
298220.0,298220,0,92,"Vermont Software Studios,LLC",0,120,Terraformer Expedition to Mars,18,1489,1457,0,0,1489,1457,16,2499,"Vermont Software Studios,LLC",7,40
298240.0,298240,85,182,"Rocketeer Games Studio, LLC",28,25,Red Crucible: Firestorm,3030,2050176,43961,15093,3779,1541467,38139,4420,0,"Rocketeer Games Studio, LLC",15,59
298560.0,298560,9,344,"Pixelsaurus Games, Future Crayon",9,155,Captain Forever Remix,31,27959,5144,738,1444,25485,4911,202,1499,Pixelsaurus Games,61,86
299250.0,299250,30,260,Excalibur,33,94,European Ship Simulator,297,44289,6474,1979,1368,40331,6178,199,1999,Excalibur Games,4,38
299340.0,299340,5,118,4gency,5,62,Habitat,101,31176,5432,738,1444,24743,4839,98,149,Versus Evil,8,41
299480.0,299480,92,252,Black Forest Games,114,84,Rogue Stormers,216,75713,8465,2213,2502,52702,7062,555,1999,"Black Forest Games, THQ Nordic",29,68
300280.0,300280,0,140,Pigasus Games,0,117,Adventurezator: When Pigs Fly,23,19299,4274,0,0,10887,3210,70,1999,Degica,36,66
300380.0,300380,112,348,"Pixel Dash Studios, EQgames",54,142,Road Redemption,525,141033,11553,11134,3246,127672,10992,3189,1999,,58,84
300570.0,300570,136,585,Zachtronics,77,217,Infinifactory,76,254602,15520,4454,2053,138806,11461,1273,2499,Zachtronics,89,94
301050.0,301050,0,165,Brandon Brizzi,0,167,Night Shift,33,14846,3748,0,0,8660,2863,69,499,Brandon Brizzi,24,84
301120.0,301120,4089,10899,Sports Interactive,6680,504,Eastside Hockey Manager,107,141033,11553,2722,1605,49485,6844,629,1999,SEGA,58,85
301500.0,301500,0,42,La Moustache Studio,0,58,BOMB: Who let the dogfight?,28,1237,1082,0,0,990,967,43,799,La Moustache Studio,16,60
301520.0,301520,310,1103,Freejam,64,137,Robocraft,28620,13571841,111747,218478,14378,9952733,96062,75181,0,Freejam,31,72
303530.0,303530,28,55,Timbre Interactive,28,62,Sentris,8,6681,2514,738,1444,4949,2164,23,149,Timbre Interactive,34,70
303550.0,303550,0,133,TicToc Games,0,76,Adventures of Pip,16,24000,4766,0,0,10392,3136,163,1499,TicToc Games,77,89
304930.0,304930,416,1268,Smartly Dressed Games,66,156,Unturned,25996,33382790,171525,764053,26873,26828461,154882,269594,0,Smartly Dressed Games,77,91
304950.0,304950,553,847,Stolen Couch Games,1087,348,Castaway Paradise - Town Building Sim,54,14103,3653,1484,2055,12866,3489,277,1499,Stolen Couch Games,53,82
305620.0,305620,435,1536,Hinterland Studio Inc.,132,370,The Long Dark,2490,1174039,33297,97486,9605,1069625,31785,31397,3499,Hinterland Studio Inc.,81,92
308060.0,308060,5,218,Sand Sailor Studio,5,183,Black The Fall,23,6433,2467,738,1444,3464,1810,123,1499,Square Enix,56,80
310370.0,310370,10,45,"Fabio Ferrara, Davide Caio, Nicolò Azzolini, Antonio Carcagnì, Luigi Di Guida, Tommaso Vita",10,11,The Way of Life Free Edition,1772,1298742,35016,3959,1935,842982,28224,5351,0,CyberCoconut,36,75
310380.0,310380,167,286,Edge Case Games Ltd.,82,40,Fractured Space,2814,2411667,47662,16825,3990,1385589,36165,7800,0,Edge Case Games Ltd.,33,73
310560.0,310560,167,1109,"Codemasters Racing Studio, Feral Interactive (Linux), Feral Interactive (Mac)",63,321,DiRT Rally,1671,839023,28158,80908,8751,670031,25167,13419,5999,"Codemasters, Feral Interactive (Linux), Feral Interactive (Mac)",67,90
310850.0,310850,41,127,Digital Furnace Games,45,81,Onikira - Demon Killer,166,48248,6758,1114,1258,25732,4935,126,1399,"Merge Games, Headup Games",5,43
310890.0,310890,69,329,"Mighty Rabbit Studios, Gun Media",69,136,Breach & Clear: Deadline Rebirth (2016),333,74475,8396,1110,1254,43794,6438,381,999,"Good Shepherd Entertainment, Devolver Digital",11,52
311310.0,311310,1224,7659,Game-Labs,281,1124,Naval Action,1289,111342,10265,9650,3022,109363,10173,2789,3999,Game-Labs,25,66
311930.0,311930,0,303,"Candescent Games, Section Studios",0,333,Tinertia,3,2474,1530,0,0,1979,1368,78,1199,Candescent & Section,95,100
312430.0,312430,0,1227,"Gothic Labs, The Lordz Games Studio",0,940,Sovereignty: Crown of Kings,84,6433,2467,0,0,6186,2419,112,2499,Slitherine Ltd.,13,56
