"rank","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Players","Playtime (Median)","Developer(s)","Publisher(s)"
"121","Planet Explorers","Nov 8, 2016","$14.99","28% (70%)","305,606 ±16,218","289,842 ±15,795","17:25 (04:24)","Pathea Games","Pathea Games"
"47","Sixtieth Kilometer","Aug 25, 2016","$4.99","41% (77%)","301,327 ±16,104","198,633 ±13,077","03:56 (04:25)","Talentplace","KishMish Games"
"79","Mordheim: City of the Damned","Nov 19, 2015","$39.99","32% (72%/74%)","300,651 ±16,086","209,443 ±13,428","40:10 (06:04)","Rogue Factor","Focus Home Interactive"
"771","CroNix","Jul 17, 2015","Free","7% (46%)","300,201 ±16,074","143,907 ±11,131","00:43 (00:13)","MAGICS","MAGICS"
"181","Tabletopia","Nov 30, 2016","Free","12% (54%)","289,616 ±15,789","224,982 ±13,917","01:55 (00:16)","Tabletopia Inc.","Tabletopia Inc."
"145","Gnomoria","Feb 23, 2016","$14.99","45% (79%)","283,311 ±15,616","236,242 ±14,260","24:42 (02:43)","Robotronic Games","Robotronic Games"
"261","Warfare Online","May 8, 2017","Free","32% (72%)","281,058 ±15,554","209,443 ±13,428","01:25 (00:20)","Con Artist Games","Con Artist Games"
"265","Guardians of Orion","Dec 21, 2016","$0.99","15% (59%)","280,608 ±15,541","199,308 ±13,099","03:04 (00:56)","Trek Industries, Inc","Trek Industries, Inc"
"132","RWBY: Grimm Eclipse","Jul 5, 2016","$19.99","57% (84%)","277,680 ±15,460","258,313 ±14,911","08:25 (03:10)","Rooster Teeth Games","Rooster Teeth Games"
"107","Burst The Game","Aug 26, 2017","Free","4% (40%)","275,879 ±15,410","157,420 ±11,642","00:22 (00:08)","Lancelot de Briey, Vince McMullin","Brieyla Studios"
"61","Dungetris","Jan 25, 2017","$4.99","45% (79%)","272,726 ±15,321","237,368 ±14,294","04:32 (04:31)","EfimovMax","EfimovMax"
"44","Data Hacker: Reboot","Apr 17, 2015","$4.99","12% (54%)","267,096 ±15,163","199,984 ±13,121","03:33 (03:30)","New Reality Games","New Reality Games"
"220","Satellite Reign","Aug 27, 2015","$29.99","39% (76%/75%)","266,870 ±15,156","163,726 ±11,873","10:43 (02:26)","5 Lives Studios","5 Lives Studios"
"75","Trouble In The Manor","Nov 17, 2015","$0.99","19% (62%)","265,294 ±15,111","232,639 ±14,151","03:22 (03:30)","Charyb Games","Charyb Games"
"91","Brawl of Ages","Sep 12, 2017","Free","26% (68%)","263,042 ±15,047","179,490 ±12,431","02:19 (00:31)","BNA Studios, LLC","S2 Games, LLC"
"382","MASSIVE CHALICE","Jun 1, 2015","$19.99","28% (70%/73%)","258,763 ±14,924","141,430 ±11,035","06:32 (02:04)","Double Fine Productions","Double Fine Productions"
"156","Audiosurf 2","May 26, 2015","$14.99","59% (85%/76%)","256,060 ±14,846","242,773 ±14,456","07:48 (02:25)","Dylan Fitterer","Dylan Fitterer"
"73","hack_me","Jan 5, 2017","$0.79","28% (70%)","254,709 ±14,807","213,722 ±13,564","03:27 (03:59)","Egor Magurin, Eugene Radaev","MegawattsCo"
"180","Dead Realm","May 23, 2017","$14.99","27% (69%)","254,709 ±14,807","230,162 ±14,076","04:03 (01:44)","Section Studios","3BLACKDOT"
"59","Invasion: Brain Craving","Jun 22, 2016","$0.99","4% (40%)","250,881 ±14,695","196,606 ±13,010","03:36 (03:30)","New Reality Games","New Reality Games"
"152","Xenonauts","Jun 16, 2014","$24.99","71% (89%/77%)","250,205 ±14,676","170,932 ±12,131","31:58 (09:44)","Goldhawk Interactive","Goldhawk Interactive"
"667","Edge of Space","Sep 17, 2015","$4.49","5% (42%)","248,178 ±14,616","193,002 ±12,890","07:53 (01:58)","Handyman Studios","Reverb Triple XP"
"40","TerraTech","Feb 6, 2015","$19.99","49% (81%)","247,052 ±14,583","240,746 ±14,396","24:54 (08:14)","Payload Studios","Payload Studios"
"155","Primal Carnage: Extinction","Apr 3, 2015","$12.99","35% (74%)","242,323 ±14,443","140,754 ±11,008","45:53 (03:47)","Circle Five Studios, Pub Games","Circle Five Studios"
"119","Roguelands","Jun 13, 2016","$9.99","51% (82%)","241,422 ±14,416","189,174 ±12,762","15:36 (04:56)","SmashGames","SmashGames"
"548","Boid","Jul 8, 2016","Free","49% (81%)","241,422 ±14,416","137,151 ±10,867","01:47 (00:27)","Mokus","tinyBuild"
"30","Day of Infamy","Mar 23, 2017","$19.99","57% (84%/77%)","240,746 ±14,396","231,738 ±14,124","17:58 (06:47)","New World Interactive","New World Interactive"
"438","Infinifactory","Jun 30, 2015","$24.99","89% (94%)","238,945 ±14,342","132,197 ±10,669","11:06 (04:29)","Zachtronics","Zachtronics"
"440","Trinium Wars","Mar 2, 2016","Free","N/A (N/A)","233,765 ±14,186","118,909 ±10,118","08:29 (09:23)","Hanmaru Soft","InselGames"
"104","Escape The Island","Dec 30, 2016","$1.99","N/A (N/A)","233,540 ±14,179","206,515 ±13,333","03:39 (03:30)","Elusive Team","Elusive Team"
"232","Battle Islands: Commanders","Feb 14, 2017","Free","7% (47%)","232,414 ±14,144","159,897 ±11,733","02:14 (00:20)","DR Studios","505 Games"
"49","Guardians of Victoria","Apr 29, 2016","$1.99","1% (22%)","231,738 ±14,124","188,048 ±12,724","05:01 (05:01)","Tall Story Studios","New Reality Games"
"178","Rampage Knights","Sep 4, 2015","$11.99","86% (93%/80%)","227,459 ±13,993","160,347 ±11,749","11:06 (04:50)","Rake in Grass","Rake in Grass"
"362","GASP","Jan 19, 2016","Free","0% (19%)","221,379 ±13,805","105,172 ±9,516","00:15 (00:09)","Dark Day Interactive","Dark Day Interactive"
"100","Cavern Escape","Feb 20, 2017","$0.99","N/A (N/A)","220,703 ±13,784","201,560 ±13,173","03:37 (03:30)","White Dog","White Dog"
"76","Ultimate Epic Battle Simulator","Jun 1, 2017","$15.99","33% (73%)","220,478 ±13,777","214,622 ±13,593","04:19 (02:07)","Brilliant Game Studios","Brilliant Game Studios"
"87","Master of Orion","Aug 25, 2016","$29.99","27% (69%/74%)","218,000 ±13,699","202,686 ±13,209","51:04 (19:33)","NGD Studios","Wargaming Labs"
"467","Bierzerkers","Feb 25, 2016","$4.99","30% (71%)","218,000 ±13,699","109,451 ±9,708","00:53 (00:13)","Shield Break Studios","Shield Break Studios"
"52","Bye-Bye, Wacky Planet","Nov 4, 2016","$4.99","65% (87%)","215,748 ±13,628","164,852 ±11,913","04:07 (04:01)","Rasul Mono","Efimov Max"
"135","Crawl","Apr 11, 2017","$14.99","95% (96%)","214,622 ±13,593","144,358 ±11,148","05:55 (02:23)","Powerhoof","Powerhoof"
"143","Castle Story","Aug 17, 2017","$24.99","9% (50%)","214,397 ±13,585","204,038 ±13,253","11:14 (04:07)","Sauropod Studio","Sauropod Studio"
"185","Brigador: Up-Armored Edition","Jun 2, 2016","$19.99","92% (95%/70%)","203,137 ±13,224","70,490 ±7,791","03:20 (01:16)","Stellar Jockeys, Gausswerks","Stellar Jockeys"
"66","Project RPG","Jan 10, 2017","$2.99","N/A (N/A)","201,110 ±13,158","183,994 ±12,586","03:23 (03:30)","Acuze Interactives","Acuze Interactives"
"182","Shadowrun Chronicles - Boston Lockdown","Apr 28, 2015","$19.99","17% (61%)","196,606 ±13,010","87,831 ±8,696","13:10 (04:28)","Cliffhanger Productions","Cliffhanger Productions, THQ Nordic"
"234","Half Dead","Aug 1, 2016","$1.99","51% (82%)","192,102 ±12,860","175,211 ±12,282","01:32 (00:56)","Room710Games","Room710Games"
"353","ROCKETSROCKETSROCKETS","May 1, 2015","$6.99","59% (85%)","191,426 ±12,837","71,165 ±7,828","02:48 (00:36)","Radial Games Corp, Loren Bednar, Dr. Kimberly Voll, Lindsay Jorgensen","Radial Games Corp"
"190","Legends of Eisenwald","Jul 2, 2015","$19.99","41% (77%/71%)","189,624 ±12,777","91,434 ±8,873","13:01 (03:59)","Aterdux Entertainment","Aterdux Entertainment"
"333","Air Brawl","Nov 5, 2015","Free","33% (73%)","189,174 ±12,762","134,899 ±10,777","01:28 (00:18)","Landfall","Landfall"
"484","JumpJet Rex","Apr 21, 2015","$9.99","95% (96%/76%)","186,021 ±12,655","39,411 ±5,826","01:42 (00:21)","TreeFortress Games","TreeFortress Games"
"24","Endless Space 2","May 18, 2017","$39.99","43% (78%)","183,093 ±12,555","175,211 ±12,282","35:35 (15:24)","AMPLITUDE Studios","SEGA"
"82","Dead Age","Nov 4, 2016","$14.99","59% (85%)","183,093 ±12,555","84,678 ±8,539","07:50 (02:27)","Silent Dreams","Headup Games"
"123","Between Me and The Night","Jan 22, 2016","$14.99","30% (71%/62%)","179,940 ±12,446","101,794 ±9,362","04:08 (04:27)","RainDance LX","Lace Games, KISS ltd"
"787","The Red Solstice","Jul 9, 2015","$19.99","43% (78%/74%)","175,887 ±12,305","91,659 ±8,884","09:17 (02:20)","Ironward","Nkidu Games Inc."
"243","Star Crusade CCG","Sep 7, 2016","Free","49% (81%)","174,535 ±12,258","96,163 ±9,099","16:39 (00:56)","ZiMAD, Inc.","ZiMAD, Inc."
"312","theHunter: Primal","Mar 31, 2015","$9.99","17% (61%/49%)","173,860 ±12,234","137,376 ±10,876","13:55 (02:56)","Expansive Worlds, Avalanche Studios","Expansive Worlds, Avalanche Studios"
"64","Space Journey","Dec 30, 2016","$1.99","N/A (N/A)","172,959 ±12,203","149,537 ±11,347","04:21 (04:31)","bcInteractive","bcInteractive"
